cidade,mes_referencia,timestamp,ortodontia,clinico_geral,profilaxia,restauracao,avaliacoes_novas
Soledade,2026-03,2026-03-10T13:37:55.174938,ortodontia,,,,
Soledade,2026-03,2026-03-10T13:37:55.174938,clinico_geral,,,,
Soledade,2026-03,2026-03-10T13:37:55.174938,avaliacoes_google,,,,
Soledade,2026-03,2026-03-10T13:37:55.174938,meta_avaliacao,,,,
Soledade,2026-03,2026-03-10T13:37:55.174938,meta_profilaxia,,,,
Soledade,2026-03,2026-03-10T13:37:55.174938,meta_restauracao,,,,
Garibaldi,2026-03,2026-03-10T13:38:04.844472,ortodontia,,,,
Garibaldi,2026-03,2026-03-10T13:38:04.844472,clinico_geral,,,,
Garibaldi,2026-03,2026-03-10T13:38:04.844472,avaliacoes_google,,,,
Garibaldi,2026-03,2026-03-10T13:38:04.844472,meta_avaliacao,,,,
Garibaldi,2026-03,2026-03-10T13:38:04.844472,meta_profilaxia,,,,
Garibaldi,2026-03,2026-03-10T13:38:04.844472,meta_restauracao,,,,
Veranópolis,2026-03,2026-03-10T13:38:14.593997,ortodontia,,,,
Veranópolis,2026-03,2026-03-10T13:38:14.593997,clinico_geral,,,,
Veranópolis,2026-03,2026-03-10T13:38:14.593997,avaliacoes_google,,,,
Veranópolis,2026-03,2026-03-10T13:38:14.593997,meta_avaliacao,,,,
Veranópolis,2026-03,2026-03-10T13:38:14.593997,meta_profilaxia,,,,
Veranópolis,2026-03,2026-03-10T13:38:14.593997,meta_restauracao,,,,
SS do Caí,2026-03,2026-03-10T13:38:24.591438,ortodontia,,,,
SS do Caí,2026-03,2026-03-10T13:38:24.591438,clinico_geral,,,,
SS do Caí,2026-03,2026-03-10T13:38:24.591438,avaliacoes_google,,,,
SS do Caí,2026-03,2026-03-10T13:38:24.591438,meta_avaliacao,,,,
SS do Caí,2026-03,2026-03-10T13:38:24.591438,meta_profilaxia,,,,
SS do Caí,2026-03,2026-03-10T13:38:24.591438,meta_restauracao,,,,
Flores,2026-03,2026-03-10T13:38:35.741015,ortodontia,,,,
Flores,2026-03,2026-03-10T13:38:35.741015,clinico_geral,,,,
Flores,2026-03,2026-03-10T13:38:35.741015,avaliacoes_google,,,,
Flores,2026-03,2026-03-10T13:38:35.741015,meta_avaliacao,,,,
Flores,2026-03,2026-03-10T13:38:35.741015,meta_profilaxia,,,,
Flores,2026-03,2026-03-10T13:38:35.741015,meta_restauracao,,,,
Caxias,2026-03,2026-03-10T14:54:37.171468,ortodontia,,,,
Caxias,2026-03,2026-03-10T14:54:37.171468,clinico_geral,,,,
Caxias,2026-03,2026-03-10T14:54:37.171468,avaliacoes_google,,,,
Caxias,2026-03,2026-03-10T14:54:37.171468,meta_avaliacao,,,,
Caxias,2026-03,2026-03-10T14:54:37.171468,meta_profilaxia,,,,
Caxias,2026-03,2026-03-10T14:54:37.171468,meta_restauracao,,,,
Farroupilha,2026-03,2026-03-10T14:55:29.399400,ortodontia,,,,
Farroupilha,2026-03,2026-03-10T14:55:29.399400,clinico_geral,,,,
Farroupilha,2026-03,2026-03-10T14:55:29.399400,avaliacoes_google,,,,
Farroupilha,2026-03,2026-03-10T14:55:29.399400,meta_avaliacao,,,,
Farroupilha,2026-03,2026-03-10T14:55:29.399400,meta_profilaxia,,,,
Farroupilha,2026-03,2026-03-10T14:55:29.399400,meta_restauracao,,,,
Bento,2026-03,2026-03-10T14:56:22.314133,ortodontia,,,,
Bento,2026-03,2026-03-10T14:56:22.314133,clinico_geral,,,,
Bento,2026-03,2026-03-10T14:56:22.314133,avaliacoes_google,,,,
Bento,2026-03,2026-03-10T14:56:22.314133,meta_avaliacao,,,,
Bento,2026-03,2026-03-10T14:56:22.314133,meta_profilaxia,,,,
Bento,2026-03,2026-03-10T14:56:22.314133,meta_restauracao,,,,
Encantado,2026-03,2026-03-10T14:57:14.713616,ortodontia,,,,
Encantado,2026-03,2026-03-10T14:57:14.713616,clinico_geral,,,,
Encantado,2026-03,2026-03-10T14:57:14.713616,avaliacoes_google,,,,
Encantado,2026-03,2026-03-10T14:57:14.713616,meta_avaliacao,,,,
Encantado,2026-03,2026-03-10T14:57:14.713616,meta_profilaxia,,,,
Encantado,2026-03,2026-03-10T14:57:14.713616,meta_restauracao,,,,
Soledade,2026-03,2026-03-10T14:58:06.592706,ortodontia,,,,
Soledade,2026-03,2026-03-10T14:58:06.592706,clinico_geral,,,,
Soledade,2026-03,2026-03-10T14:58:06.592706,avaliacoes_google,,,,
Soledade,2026-03,2026-03-10T14:58:06.592706,meta_avaliacao,,,,
Soledade,2026-03,2026-03-10T14:58:06.592706,meta_profilaxia,,,,
Soledade,2026-03,2026-03-10T14:58:06.592706,meta_restauracao,,,,
Garibaldi,2026-03,2026-03-10T14:58:59.423742,ortodontia,,,,
Garibaldi,2026-03,2026-03-10T14:58:59.423742,clinico_geral,,,,
Garibaldi,2026-03,2026-03-10T14:58:59.423742,avaliacoes_google,,,,
Garibaldi,2026-03,2026-03-10T14:58:59.423742,meta_avaliacao,,,,
Garibaldi,2026-03,2026-03-10T14:58:59.423742,meta_profilaxia,,,,
Garibaldi,2026-03,2026-03-10T14:58:59.423742,meta_restauracao,,,,
Veranópolis,2026-03,2026-03-10T14:59:52.372551,ortodontia,,,,
Veranópolis,2026-03,2026-03-10T14:59:52.372551,clinico_geral,,,,
Veranópolis,2026-03,2026-03-10T14:59:52.372551,avaliacoes_google,,,,
Veranópolis,2026-03,2026-03-10T14:59:52.372551,meta_avaliacao,,,,
Veranópolis,2026-03,2026-03-10T14:59:52.372551,meta_profilaxia,,,,
Veranópolis,2026-03,2026-03-10T14:59:52.372551,meta_restauracao,,,,
SS do Caí,2026-03,2026-03-10T15:00:45.636502,ortodontia,,,,
SS do Caí,2026-03,2026-03-10T15:00:45.636502,clinico_geral,,,,
SS do Caí,2026-03,2026-03-10T15:00:45.636502,avaliacoes_google,,,,
SS do Caí,2026-03,2026-03-10T15:00:45.636502,meta_avaliacao,,,,
SS do Caí,2026-03,2026-03-10T15:00:45.636502,meta_profilaxia,,,,
SS do Caí,2026-03,2026-03-10T15:00:45.636502,meta_restauracao,,,,
Flores,2026-03,2026-03-10T15:01:39.135134,ortodontia,,,,
Flores,2026-03,2026-03-10T15:01:39.135134,clinico_geral,,,,
Flores,2026-03,2026-03-10T15:01:39.135134,avaliacoes_google,,,,
Flores,2026-03,2026-03-10T15:01:39.135134,meta_avaliacao,,,,
Flores,2026-03,2026-03-10T15:01:39.135134,meta_profilaxia,,,,
Flores,2026-03,2026-03-10T15:01:39.135134,meta_restauracao,,,,
Caxias,2026-03,2026-03-10T16:33:19.221359,ortodontia,,,,
Caxias,2026-03,2026-03-10T16:33:19.221359,clinico_geral,,,,
Caxias,2026-03,2026-03-10T16:33:19.221359,avaliacoes_google,,,,
Caxias,2026-03,2026-03-10T16:33:19.221359,meta_avaliacao,,,,
Caxias,2026-03,2026-03-10T16:33:19.221359,meta_profilaxia,,,,
Caxias,2026-03,2026-03-10T16:33:19.221359,meta_restauracao,,,,
Farroupilha,2026-03,2026-03-10T16:34:13.131873,ortodontia,,,,
Farroupilha,2026-03,2026-03-10T16:34:13.131873,clinico_geral,,,,
Farroupilha,2026-03,2026-03-10T16:34:13.131873,avaliacoes_google,,,,
Farroupilha,2026-03,2026-03-10T16:34:13.131873,meta_avaliacao,,,,
Farroupilha,2026-03,2026-03-10T16:34:13.131873,meta_profilaxia,,,,
Farroupilha,2026-03,2026-03-10T16:34:13.131873,meta_restauracao,,,,
Bento,2026-03,2026-03-10T16:35:07.163256,ortodontia,,,,
Bento,2026-03,2026-03-10T16:35:07.163256,clinico_geral,,,,
Bento,2026-03,2026-03-10T16:35:07.163256,avaliacoes_google,,,,
Bento,2026-03,2026-03-10T16:35:07.163256,meta_avaliacao,,,,
